Date,DMI
01-07-1956,-0.763
01-08-1956,-0.466
01-09-1956,-0.407
01-10-1956,-0.286
01-11-1956,-0.24
01-12-1956,0.082
01-01-1957,-0.25
01-02-1957,-0.374
01-03-1957,-0.028
01-04-1957,-0.101
01-05-1957,-0.108
01-06-1957,-0.252
01-07-1957,-0.172
01-08-1957,0.041
01-09-1957,0.005
01-10-1957,-0.146
01-11-1957,-0.218
01-12-1957,-0.026
01-01-1958,-0.218
01-02-1958,-0.057
01-03-1958,-0.207
01-04-1958,-0.145
01-05-1958,-0.277
01-06-1958,-0.639
01-07-1958,-0.749
01-08-1958,-0.959
01-09-1958,-0.911
01-10-1958,-0.584
01-11-1958,-0.402
01-12-1958,-0.406
01-01-1959,0.159
01-02-1959,-0.346
01-03-1959,-0.351
01-04-1959,-0.159
01-05-1959,-0.518
01-06-1959,-0.534
01-07-1959,-0.349
01-08-1959,-0.607
01-09-1959,-0.449
01-10-1959,-0.212
01-11-1959,-0.311
01-12-1959,-0.125
01-01-1960,-0.045
01-02-1960,0.148
01-03-1960,-0.256
01-04-1960,-0.537
01-05-1960,-0.514
01-06-1960,-0.468
01-07-1960,-0.421
01-08-1960,-0.285
01-09-1960,-0.192
01-10-1960,-0.524
01-11-1960,-0.538
01-12-1960,-0.4
01-01-1961,0.046
01-02-1961,0.11
01-03-1961,0.048
01-04-1961,-0.403
01-05-1961,-0.219
01-06-1961,0.206
01-07-1961,0.935
01-08-1961,1.068
01-09-1961,0.927
01-10-1961,0.819
01-11-1961,0.577
01-12-1961,0.528
01-01-1962,0.692
01-02-1962,0.724
01-03-1962,0.52
01-04-1962,0.18
01-05-1962,-0.162
01-06-1962,-0.249
01-07-1962,-0.15
01-08-1962,0.001
01-09-1962,0.199
01-10-1962,0.051
01-11-1962,0.06
01-12-1962,0.165
01-01-1963,0.514
01-02-1963,0.579
01-03-1963,0.371
01-04-1963,0.139
01-05-1963,-0.11
01-06-1963,-0.043
01-07-1963,0.52
01-08-1963,0.764
01-09-1963,0.459
01-10-1963,0.797
01-11-1963,0.576
01-12-1963,0.165
01-01-1964,-0.277
01-02-1964,-0.506
01-03-1964,-0.145
01-04-1964,-0.032
01-05-1964,-0.306
01-06-1964,-0.135
01-07-1964,-0.511
01-08-1964,-0.378
01-09-1964,-0.588
01-10-1964,-0.645
01-11-1964,-0.013
01-12-1964,0.055
01-01-1965,-0.145
01-02-1965,-0.266
01-03-1965,-0.018
01-04-1965,-0.088
01-05-1965,-0.321
01-06-1965,-0.273
01-07-1965,-0.161
01-08-1965,0.05
01-09-1965,0.184
01-10-1965,0.384
01-11-1965,0.032
01-12-1965,-0.065
01-01-1966,-0.05
01-02-1966,0.019
01-03-1966,-0.178
01-04-1966,-0.237
01-05-1966,-0.209
01-06-1966,0.089
01-07-1966,0.305
01-08-1966,0.419
01-09-1966,0.483
01-10-1966,0.07
01-11-1966,-0.097
01-12-1966,-0.011
01-01-1967,-0.047
01-02-1967,0.117
01-03-1967,0.415
01-04-1967,-0.075
01-05-1967,0.04
01-06-1967,0.241
01-07-1967,0.435
01-08-1967,0.407
01-09-1967,0.514
01-10-1967,0.519
01-11-1967,0.277
01-12-1967,0.275
01-01-1968,0.389
01-02-1968,0.511
01-03-1968,0.32
01-04-1968,0.259
01-05-1968,0.084
01-06-1968,0.283
01-07-1968,-0.214
01-08-1968,-0.161
01-09-1968,-0.347
01-10-1968,-0.155
01-11-1968,-0.185
01-12-1968,0.014
01-01-1969,0.023
01-02-1969,0.019
01-03-1969,0.23
01-04-1969,0.15
01-05-1969,0.055
01-06-1969,-0.409
01-07-1969,-0.093
01-08-1969,-0.054
01-09-1969,0.13
01-10-1969,0.17
01-11-1969,0.253
01-12-1969,0.139
01-01-1970,0.482
01-02-1970,0.505
01-03-1970,0.231
01-04-1970,0.412
01-05-1970,0.391
01-06-1970,-0.182
01-07-1970,-0.262
01-08-1970,-0.059
01-09-1970,-0.218
01-10-1970,-0.263
01-11-1970,-0.039
01-12-1970,-0.006
01-01-1971,0.378
01-02-1971,0.191
01-03-1971,0.372
01-04-1971,0.441
01-05-1971,0.145
01-06-1971,-0.025
01-07-1971,-0.041
01-08-1971,-0.243
01-09-1971,-0.357
01-10-1971,-0.25
01-11-1971,0.281
01-12-1971,0.443
01-01-1972,0.33
01-02-1972,-0.035
01-03-1972,0.194
01-04-1972,0.32
01-05-1972,0.366
01-06-1972,0.939
01-07-1972,1.012
01-08-1972,0.807
01-09-1972,0.742
01-10-1972,0.69
01-11-1972,0.92
01-12-1972,0.694
01-01-1973,0.223
01-02-1973,0.105
01-03-1973,0.161
01-04-1973,0.081
01-05-1973,0.297
01-06-1973,-0.018
01-07-1973,-0.184
01-08-1973,-0.302
01-09-1973,-0.381
01-10-1973,-0.055
01-11-1973,0.121
01-12-1973,0.287
01-01-1974,0.468
01-02-1974,0.341
01-03-1974,0.418
01-04-1974,0.144
01-05-1974,-0.026
01-06-1974,0.18
01-07-1974,0.063
01-08-1974,-0.201
01-09-1974,-0.272
01-10-1974,-0.459
01-11-1974,-0.274
01-12-1974,-0.124
01-01-1975,-0.177
01-02-1975,-0.067
01-03-1975,-0.29
01-04-1975,0.284
01-05-1975,0.281
01-06-1975,0.261
01-07-1975,0.264
01-08-1975,-0.052
01-09-1975,-0.469
01-10-1975,-0.671
01-11-1975,-0.065
01-12-1975,0.059
01-01-1976,0.195
01-02-1976,0.26
01-03-1976,0.184
01-04-1976,0.318
01-05-1976,0.21
01-06-1976,0.57
01-07-1976,0.882
01-08-1976,0.391
01-09-1976,0.161
01-10-1976,0.137
01-11-1976,0.08
01-12-1976,0.256
01-01-1977,0.18
01-02-1977,-0.076
01-03-1977,0.338
01-04-1977,0.17
01-05-1977,-0.13
01-06-1977,0.105
01-07-1977,0.131
01-08-1977,0.023
01-09-1977,0.114
01-10-1977,0.602
01-11-1977,0.121
01-12-1977,0.193
01-01-1978,-0.451
01-02-1978,-0.35
01-03-1978,-0.418
01-04-1978,-0.024
01-05-1978,-0.327
01-06-1978,0.02
01-07-1978,0.194
01-08-1978,0.082
01-09-1978,0.126
01-10-1978,-0.122
01-11-1978,-0.188
01-12-1978,-0.029
01-01-1979,0.494
01-02-1979,0.025
01-03-1979,0.13
01-04-1979,-0.015
01-05-1979,-0.234
01-06-1979,0.304
01-07-1979,-0.01
01-08-1979,0.063
01-09-1979,0.103
01-10-1979,0.063
01-11-1979,0.015
01-12-1979,0.126
01-01-1980,0.025
01-02-1980,-0.021
01-03-1980,-0.251
01-04-1980,0.103
01-05-1980,0.148
01-06-1980,-0.171
01-07-1980,-0.339
01-08-1980,-0.513
01-09-1980,-0.35
01-10-1980,-0.282
01-11-1980,-0.162
01-12-1980,-0.264
01-01-1981,-0.02
01-02-1981,0.148
01-03-1981,0.186
01-04-1981,0.28
01-05-1981,0.189
01-06-1981,-0.032
01-07-1981,-0.247
01-08-1981,-0.323
01-09-1981,-0.363
01-10-1981,-0.228
01-11-1981,-0.063
01-12-1981,0.211
01-01-1982,0.327
01-02-1982,0.35
01-03-1982,0.218
01-04-1982,0.312
01-05-1982,0.434
01-06-1982,0.46
01-07-1982,0.574
01-08-1982,0.547
01-09-1982,0.82
01-10-1982,0.99
01-11-1982,0.541
01-12-1982,0.064
01-01-1983,-0.297
01-02-1983,-0.405
01-03-1983,-0.582
01-04-1983,-0.353
01-05-1983,0.157
01-06-1983,0.579
01-07-1983,0.832
01-08-1983,0.642
01-09-1983,0.314
01-10-1983,0.089
01-11-1983,-0.07
01-12-1983,0.131
01-01-1984,-0.038
01-02-1984,0.033
01-03-1984,0.049
01-04-1984,0.252
01-05-1984,-0.083
01-06-1984,-0.143
01-07-1984,-0.049
01-08-1984,-0.194
01-09-1984,-0.216
01-10-1984,-0.272
01-11-1984,-0.148
01-12-1984,-0.046
01-01-1985,-0.278
01-02-1985,-0.446
01-03-1985,-0.37
01-04-1985,-0.007
01-05-1985,-0.01
01-06-1985,-0.416
01-07-1985,-0.09
01-08-1985,-0.158
01-09-1985,0.144
01-10-1985,-0.124
01-11-1985,0.338
01-12-1985,-0.191
01-01-1986,0.073
01-02-1986,0.044
01-03-1986,-0.034
01-04-1986,-0.089
01-05-1986,0.058
01-06-1986,-0.073
01-07-1986,-0.242
01-08-1986,-0.111
01-09-1986,0.229
01-10-1986,0.318
01-11-1986,0.015
01-12-1986,-0.052
01-01-1987,0.097
01-02-1987,0.222
01-03-1987,0.024
01-04-1987,0.04
01-05-1987,0.381
01-06-1987,0.312
01-07-1987,0.508
01-08-1987,0.585
01-09-1987,0.766
01-10-1987,0.62
01-11-1987,0.21
01-12-1987,0.377
01-01-1988,0.532
01-02-1988,0.029
01-03-1988,-0.146
01-04-1988,0.07
01-05-1988,-0.293
01-06-1988,-0.057
01-07-1988,0.163
01-08-1988,0.008
01-09-1988,-0.015
01-10-1988,-0.142
01-11-1988,0.089
01-12-1988,0.391
01-01-1989,-0.09
01-02-1989,0.14
01-03-1989,-0.149
01-04-1989,-0.279
01-05-1989,-0.375
01-06-1989,-0.566
01-07-1989,-0.13
01-08-1989,-0.014
01-09-1989,0.162
01-10-1989,-0.035
01-11-1989,-0.076
01-12-1989,0.058
01-01-1990,0.076
01-02-1990,-0.11
01-03-1990,0.023
01-04-1990,-0.19
01-05-1990,-0.135
01-06-1990,-0.361
01-07-1990,0.057
01-08-1990,-0.094
01-09-1990,0.198
01-10-1990,0.029
01-11-1990,0.168
01-12-1990,0.229
01-01-1991,0.24
01-02-1991,0.074
01-03-1991,0.122
01-04-1991,0.475
01-05-1991,0.586
01-06-1991,0.461
01-07-1991,0.566
01-08-1991,0.343
01-09-1991,0.471
01-10-1991,0.329
01-11-1991,0.293
01-12-1991,0.294
01-01-1992,-0.146
01-02-1992,-0.215
01-03-1992,-0.511
01-04-1992,-0.359
01-05-1992,-0.334
01-06-1992,-0.65
01-07-1992,-0.168
01-08-1992,-0.471
01-09-1992,-0.45
01-10-1992,-0.254
01-11-1992,-0.135
01-12-1992,-0.09
01-01-1993,-0.02
01-02-1993,0.209
01-03-1993,-0.136
01-04-1993,0.008
01-05-1993,0.186
01-06-1993,0.098
01-07-1993,0.149
01-08-1993,-0.016
01-09-1993,0.206
01-10-1993,0.211
01-11-1993,0.107
01-12-1993,0.016
01-01-1994,0.203
01-02-1994,0.035
01-03-1994,0.357
01-04-1994,0.532
01-05-1994,0.746
01-06-1994,0.629
01-07-1994,0.85
01-08-1994,1.09
01-09-1994,0.903
01-10-1994,1.063
01-11-1994,0.546
01-12-1994,0.488
01-01-1995,0.316
01-02-1995,0.334
01-03-1995,0.112
01-04-1995,-0.024
01-05-1995,-0.038
01-06-1995,0.129
01-07-1995,0.138
01-08-1995,0.154
01-09-1995,0.204
01-10-1995,0.011
01-11-1995,-0.027
01-12-1995,0.317
01-01-1996,0.16
01-02-1996,0.152
01-03-1996,0.087
01-04-1996,-0.167
01-05-1996,-0.049
01-06-1996,-0.185
01-07-1996,-0.333
01-08-1996,-0.381
01-09-1996,-0.327
01-10-1996,-0.729
01-11-1996,-0.528
01-12-1996,-0.187
01-01-1997,0.079
01-02-1997,0.254
01-03-1997,0.205
01-04-1997,0.245
01-05-1997,0.241
01-06-1997,0.291
01-07-1997,0.755
01-08-1997,0.927
01-09-1997,1.143
01-10-1997,1.24
01-11-1997,1.528
01-12-1997,1.085
01-01-1998,0.696
01-02-1998,0.602
01-03-1998,0.117
01-04-1998,0.248
01-05-1998,0.356
01-06-1998,0.359
01-07-1998,-0.064
01-08-1998,-0.266
01-09-1998,-0.1
01-10-1998,-0.356
01-11-1998,-0.38
01-12-1998,-0.103
01-01-1999,0.062
01-02-1999,0.152
01-03-1999,0.276
01-04-1999,0.194
01-05-1999,0.032
01-06-1999,0.07
01-07-1999,0.416
01-08-1999,0.314
01-09-1999,0.331
01-10-1999,0.183
01-11-1999,0.152
01-12-1999,0.082
01-01-2000,0.062
01-02-2000,0.174
01-03-2000,0.31
01-04-2000,0.344
01-05-2000,0.33
01-06-2000,0.189
01-07-2000,0.39
01-08-2000,0.433
01-09-2000,0.293
01-10-2000,0.227
01-11-2000,-0.041
01-12-2000,-0.017
01-01-2001,-0.245
01-02-2001,0.163
01-03-2001,0.15
01-04-2001,0.333
01-05-2001,0.35
01-06-2001,0.334
01-07-2001,0.17
01-08-2001,-0.001
01-09-2001,0.156
01-10-2001,-0.075
01-11-2001,0.021
01-12-2001,0.171
01-01-2002,0.04
01-02-2002,0.087
01-03-2002,0.173
01-04-2002,-0.157
01-05-2002,-0.115
01-06-2002,0.019
01-07-2002,0.049
01-08-2002,0.084
01-09-2002,0.664
01-10-2002,0.768
01-11-2002,0.353
01-12-2002,0.065
01-01-2003,-0.063
01-02-2003,0.199
01-03-2003,0.12
01-04-2003,0.094
01-05-2003,0.051
01-06-2003,0.344
01-07-2003,0.436
01-08-2003,0.4
01-09-2003,0.32
01-10-2003,0.13
01-11-2003,0.1
01-12-2003,0.407
01-01-2004,0.225
01-02-2004,0.293
01-03-2004,0.248
01-04-2004,0.116
01-05-2004,-0.347
01-06-2004,-0.182
01-07-2004,0.007
01-08-2004,0.159
01-09-2004,0.273
01-10-2004,0.365
01-11-2004,0.099
01-12-2004,0.091
01-01-2005,0.055
01-02-2005,-0.376
01-03-2005,-0.268
01-04-2005,0.277
01-05-2005,0.181
01-06-2005,0.029
01-07-2005,-0.073
01-08-2005,-0.048
01-09-2005,-0.152
01-10-2005,-0.061
01-11-2005,-0.009
01-12-2005,-0.068
01-01-2006,0.056
01-02-2006,-0.12
01-03-2006,-0.06
01-04-2006,0.181
01-05-2006,0.003
01-06-2006,0.145
01-07-2006,0.344
01-08-2006,0.52
01-09-2006,0.8
01-10-2006,0.938
01-11-2006,0.754
01-12-2006,0.392
01-01-2007,0.402
01-02-2007,0.331
01-03-2007,0.275
01-04-2007,0.291
01-05-2007,0.483
01-06-2007,0.239
01-07-2007,0.358
01-08-2007,0.533
01-09-2007,0.616
01-10-2007,0.444
01-11-2007,0.241
01-12-2007,0.004
01-01-2008,0.303
01-02-2008,0.112
01-03-2008,0.269
01-04-2008,0.041
01-05-2008,0.395
01-06-2008,0.421
01-07-2008,0.551
01-08-2008,0.417
01-09-2008,0.467
01-10-2008,0.403
01-11-2008,0.139
01-12-2008,0.174
01-01-2009,0.218
01-02-2009,0.348
01-03-2009,0.264
01-04-2009,0.318
01-05-2009,0.468
01-06-2009,0.303
01-07-2009,0.113
01-08-2009,0.194
01-09-2009,0.272
01-10-2009,0.355
01-11-2009,0.183
01-12-2009,0.382
01-01-2010,0.473
01-02-2010,0.209
01-03-2010,0.628
01-04-2010,0.559
01-05-2010,0.181
01-06-2010,0.063
01-07-2010,0.306
01-08-2010,0.241
01-09-2010,0.117
01-10-2010,-0.063
01-11-2010,-0.221
01-12-2010,0.021
01-01-2011,0.373
01-02-2011,0.418
01-03-2011,0.537
01-04-2011,0.351
01-05-2011,0.124
01-06-2011,0.259
01-07-2011,0.53
01-08-2011,0.643
01-09-2011,0.579
01-10-2011,0.728
01-11-2011,0.592
01-12-2011,0.097
01-01-2012,0.227
01-02-2012,0.1
01-03-2012,0.195
01-04-2012,-0.065
01-05-2012,-0.124
01-06-2012,0.215
01-07-2012,0.853
01-08-2012,0.941
01-09-2012,0.833
01-10-2012,0.483
01-11-2012,0.16
01-12-2012,0.488
